alternative.id,container.title,created,deposited,doi,indexed,ISBN,ISSN,issue,issued,member,page,prefix,publisher,reference.count,score,source,subject,title,type,update.policy,URL,volume,archive,license_date,license_URL,license_delay.in.days,license_content.version,abstract,subtitle,archive_,NA.,NA..1,funding_name,funding_award,funding_DOI,funding_doi.asserted.by,author_given,author_family,author_affiliation,author_ORCID
S1125786514000058,Dendrochronologia,2014-02-28,2015-02-14,10.1016/j.dendro.2014.01.004,2016-10-30,,1125-7865,2,2014,http://id.crossref.org/member/78,107-112,http://id.crossref.org/prefix/10.1016,Elsevier BV,37,1,CrossRef,"Plant Science,Ecology",TRADER: A package for Tree Ring Analysis of Disturbance Events in R,journal-article,http://dx.doi.org/10.1016/elsevier_cm_policy,http://dx.doi.org/10.1016/j.dendro.2014.01.004,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.,Altman,NA,NA
S1125786514000058,Dendrochronologia,2014-02-28,2015-02-14,10.1016/j.dendro.2014.01.004,2016-10-30,,1125-7865,2,2014,http://id.crossref.org/member/78,107-112,http://id.crossref.org/prefix/10.1016,Elsevier BV,37,1,CrossRef,"Plant Science,Ecology",TRADER: A package for Tree Ring Analysis of Disturbance Events in R,journal-article,http://dx.doi.org/10.1016/elsevier_cm_policy,http://dx.doi.org/10.1016/j.dendro.2014.01.004,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P.,Fibich,NA,NA
S1125786514000058,Dendrochronologia,2014-02-28,2015-02-14,10.1016/j.dendro.2014.01.004,2016-10-30,,1125-7865,2,2014,http://id.crossref.org/member/78,107-112,http://id.crossref.org/prefix/10.1016,Elsevier BV,37,1,CrossRef,"Plant Science,Ecology",TRADER: A package for Tree Ring Analysis of Disturbance Events in R,journal-article,http://dx.doi.org/10.1016/elsevier_cm_policy,http://dx.doi.org/10.1016/j.dendro.2014.01.004,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.,Dolezal,NA,NA
S1125786514000058,Dendrochronologia,2014-02-28,2015-02-14,10.1016/j.dendro.2014.01.004,2016-10-30,,1125-7865,2,2014,http://id.crossref.org/member/78,107-112,http://id.crossref.org/prefix/10.1016,Elsevier BV,37,1,CrossRef,"Plant Science,Ecology",TRADER: A package for Tree Ring Analysis of Disturbance Events in R,journal-article,http://dx.doi.org/10.1016/elsevier_cm_policy,http://dx.doi.org/10.1016/j.dendro.2014.01.004,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.,Aakala,NA,NA
10.1093/biosci/biw022,BioScience,2016-03-30,2017-01-12,10.1093/biosci/biw022,2017-01-12,,"0006-3568,1525-3244",5,2016-03-29,http://id.crossref.org/member/286,393-400,http://id.crossref.org/prefix/10.1093,Oxford University Press (OUP),40,1,CrossRef,Agricultural and Biological Sciences(all),Spatial Gaps in Global Biodiversity Information and the Role of Citizen Science,journal-article,NA,http://dx.doi.org/10.1093/biosci/biw022,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European Commission's Marie Curie International Incoming Fellowship Programme,PIIF-GA-2011-303221,NA,NA,Tatsuya,Amano,NA,NA
10.1093/biosci/biw022,BioScience,2016-03-30,2017-01-12,10.1093/biosci/biw022,2017-01-12,,"0006-3568,1525-3244",5,2016-03-29,http://id.crossref.org/member/286,393-400,http://id.crossref.org/prefix/10.1093,Oxford University Press (OUP),40,1,CrossRef,Agricultural and Biological Sciences(all),Spatial Gaps in Global Biodiversity Information and the Role of Citizen Science,journal-article,NA,http://dx.doi.org/10.1093/biosci/biw022,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European Commission's Marie Curie International Incoming Fellowship Programme,PIIF-GA-2011-303221,NA,NA,James D. L.,Lamming,NA,NA
10.1093/biosci/biw022,BioScience,2016-03-30,2017-01-12,10.1093/biosci/biw022,2017-01-12,,"0006-3568,1525-3244",5,2016-03-29,http://id.crossref.org/member/286,393-400,http://id.crossref.org/prefix/10.1093,Oxford University Press (OUP),40,1,CrossRef,Agricultural and Biological Sciences(all),Spatial Gaps in Global Biodiversity Information and the Role of Citizen Science,journal-article,NA,http://dx.doi.org/10.1093/biosci/biw022,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European Commission's Marie Curie International Incoming Fellowship Programme,PIIF-GA-2011-303221,NA,NA,William J.,Sutherland,NA,NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,Institute of Latin American Studies at Columbia University,"DEB 0963447, DEB 0218039, BSR-8811902, DEB 0080538, DEB 0620910, DEB 9411973",NA,NA,Benedicte,Bachelot,"Department of Ecology, Evolution and Environmental Biology; Columbia University; 1200 Amsterdam Avenue New York New York 10027 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,Institute of Latin American Studies at Columbia University,"DEB 0963447, DEB 0218039, BSR-8811902, DEB 0080538, DEB 0620910, DEB 9411973",NA,NA,María,Uriarte,"Department of Ecology, Evolution and Environmental Biology; Columbia University; 1200 Amsterdam Avenue New York New York 10027 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,Institute of Latin American Studies at Columbia University,"DEB 0963447, DEB 0218039, BSR-8811902, DEB 0080538, DEB 0620910, DEB 9411973",NA,NA,Jess K.,Zimmerman,"Department of Environmental Sciences; University of Puerto Rico, Río Piedras Campus; San Juan Puerto Rico 00936 USA, NA, NA",NA
